name	age	credit_card	preference	risk_appetite
Justine	95	374288807937155	n/a	0.29
Linoel	79	3545480130537152	Technology	0.21
Abie	96	3531503400119850	Miscellaneous	0.01
Shirline	91	3551773701166026	n/a	0.97
Dorette	73	3539316216907992	Consumer Services	0.95
Stuart	66	6389618720165692	Finance	0.42
Cord	22	3560830591980681	Consumer Durables	0.53
Jacklin	89	3573742336020746	n/a	0.86
Ignazio	43	560221752175576687	Finance	0.05
Madlen	57	3530147112719150	Finance	0.15
Morganica	37	56022476806591234	Consumer Services	0.75
Hussein	75	3546577955020872	Finance	0.27
Kath	31	3572041002704373	Technology	0.03
Virgilio	38	30599267614159	Health Care	0.48
Riannon	62	3555523360636249	Technology	0.3
Arther	69	6391303721778803	n/a	0.5
Paule	55	3587611805638599	Capital Goods	0.62
Mitch	93	3588967882143971	Capital Goods	0.06
Valina	79	5602245298310428	Consumer Services	0.19
Neall	78	3582550245877034	Health Care	0.51
Tana	98	36995580333754	Health Care	0.96
Wallie	70	374283790987184	Consumer Non-Durables	0.02
Dedra	51	3585844683227340	Miscellaneous	0.23
Brand	46	3562378869788780	Technology	0.49
Lamont	66	4041379287329	Transportation	0.71
Miranda	69	6762978463599035232	Consumer Services	0.68
Bobbye	95	3528572311300672	Transportation	0.68
Farleigh	76	4405490217469499	Technology	0.68
Camellia	77	56022570100532058	Finance	0.7
Kellen	52	3578097171483656	Public Utilities	0.73
Hercules	43	5602230760392856	Energy	0.46
Hallsy	53	36107091624792	Finance	0.33
Hildegarde	37	4844293417798215	Technology	0.99
Ronny	57	3551830565701106	Consumer Services	0.87
Mile	79	3536110810595391	Health Care	0.96
Christean	29	3545552692333525	Health Care	0.28
Sari	31	4844127936600371	Basic Industries	0.47
Malvina	63	5592763343262206	Technology	0.46
Perice	72	3577188343728747	Basic Industries	0.37
Clio	42	633462070190062663	n/a	0.75
Shep	25	30129103397270	Consumer Non-Durables	0.36
Elias	96	5602258214587409	Finance	0.08
Dino	90	3587754148428987	Health Care	0.69
Renae	35	5602215701326667	Technology	0.95
Kore	33	6333389314071442367	Consumer Services	0.34
Tammara	73	3589871155279265	Finance	1.0
Antonius	81	3550052509238076	Finance	0.09
Brunhilda	95	3533483464910114	Technology	0.68
Dannie	48	3579773163149765	Energy	0.57
Bendicty	59	201858437315037	Technology	0.68
